,Eg,FWHM,Eff_tot,FE,SE,DE,c511
0,60.0,6.1975,0.69816,173600.0,0.0,0.0,0.0
1,70.0,5.4571,0.8006,181850.0,0.0,0.0,0.0
2,80.0,4.8998,0.87478,192530.0,0.0,0.0,0.0
3,90.0,4.4647,0.92917,194590.0,0.0,0.0,0.0
4,100.0,4.1153,0.96937,194970.0,0.0,0.0,0.0
5,110.0,3.8283,1.0005,195250.0,0.0,0.0,0.0
6,120.0,3.5881,1.0239,194780.0,0.0,0.0,0.0
7,130.0,3.384,1.0444,194660.0,0.0,0.0,0.0
8,140.0,3.2084,1.0582,194740.0,0.0,0.0,0.0
9,150.0,3.0555,1.0711,194100.0,0.0,0.0,0.0
10,160.0,2.9212,1.079,193580.0,0.0,0.0,0.0
11,170.0,2.8021,1.0858,192520.0,0.0,0.0,0.0
12,180.0,2.6959,1.0911,192240.0,0.0,0.0,0.0
13,190.0,2.6004,1.0956,191300.0,0.0,0.0,0.0
14,200.0,2.5141,1.1001,190030.0,0.0,0.0,0.0
15,210.0,2.4357,1.1046,189620.0,0.0,0.0,0.0
16,220.0,2.3641,1.1071,188620.0,0.0,0.0,0.0
17,230.0,2.2985,1.1083,186920.0,0.0,0.0,0.0
18,240.0,2.2381,1.1085,185600.0,0.0,0.0,0.0
19,250.0,2.1823,1.1099,184480.0,0.0,0.0,0.0
20,260.0,2.1306,1.11,183140.0,0.0,0.0,0.0
21,270.0,2.0826,1.111,182020.0,0.0,0.0,0.0
22,280.0,2.0377,1.1089,180510.0,0.0,0.0,0.0
23,290.0,1.9959,1.113,179690.0,0.0,0.0,0.0
24,300.0,1.9566,1.1128,178410.0,0.0,0.0,0.0
25,310.0,1.9198,1.1125,177320.0,0.0,0.0,0.0
26,320.0,1.8851,1.1125,176010.0,0.0,0.0,0.0
27,330.0,1.8524,1.1144,175800.0,0.0,0.0,0.0
28,340.0,1.8215,1.1138,173790.0,0.0,0.0,0.0
29,350.0,1.7923,1.1118,172370.0,0.0,0.0,0.0
30,360.0,1.7646,1.1122,171600.0,0.0,0.0,0.0
31,370.0,1.7383,1.109,170430.0,0.0,0.0,0.0
32,380.0,1.7133,1.1118,170010.0,0.0,0.0,0.0
33,390.0,1.6895,1.1083,168240.0,0.0,0.0,0.0
34,400.0,1.6668,1.1102,167890.0,0.0,0.0,0.0
35,410.0,1.6451,1.11,166400.0,0.0,0.0,0.0
36,420.0,1.6245,1.1085,165820.0,0.0,0.0,0.0
37,430.0,1.6047,1.1071,164460.0,0.0,0.0,0.0
38,440.0,1.5857,1.1052,163930.0,0.0,0.0,0.0
39,450.0,1.5675,1.1055,163260.0,0.0,0.0,0.0
40,460.0,1.5501,1.1045,162500.0,0.0,0.0,0.0
41,470.0,1.5334,1.1065,162110.0,0.0,0.0,0.0
42,480.0,1.5173,1.1023,160820.0,0.0,0.0,0.0
43,490.0,1.5018,1.1009,160170.0,0.0,0.0,0.0
44,500.0,1.4869,1.0994,159980.0,0.0,0.0,0.0
45,510.0,1.4725,1.1023,158990.0,0.0,0.0,0.0
46,520.0,1.4587,1.0992,158180.0,0.0,0.0,0.0
47,530.0,1.4453,1.098,157860.0,0.0,0.0,0.0
48,540.0,1.4324,1.0943,157180.0,0.0,0.0,0.0
49,550.0,1.4199,1.0952,156440.0,0.0,0.0,0.0
50,560.0,1.4079,1.0932,156350.0,0.0,0.0,0.0
51,570.0,1.3962,1.0903,155200.0,0.0,0.0,0.0
52,580.0,1.3849,1.0906,155300.0,0.0,0.0,0.0
53,590.0,1.374,1.091,154800.0,0.0,0.0,0.0
54,600.0,1.3634,1.0894,153950.0,0.0,0.0,0.0
55,610.0,1.3531,1.0887,153820.0,0.0,0.0,0.0
56,620.0,1.3431,1.0867,153540.0,0.0,0.0,0.0
57,630.0,1.3334,1.0846,153260.0,0.0,0.0,0.0
58,640.0,1.324,1.0865,152200.0,0.0,0.0,0.0
59,650.0,1.3149,1.0831,152080.0,0.0,0.0,0.0
60,660.0,1.306,1.0834,151620.0,0.0,0.0,0.0
61,670.0,1.2974,1.0814,151940.0,0.0,0.0,0.0
62,680.0,1.289,1.0793,150610.0,0.0,0.0,0.0
63,690.0,1.2808,1.0766,150290.0,0.0,0.0,0.0
64,700.0,1.2728,1.0773,150380.0,0.0,0.0,0.0
65,710.0,1.2651,1.0737,149710.0,0.0,0.0,0.0
66,720.0,1.2575,1.0743,150030.0,0.0,0.0,0.0
67,730.0,1.2502,1.0716,148730.0,0.0,0.0,0.0
68,740.0,1.243,1.0676,149110.0,0.0,0.0,0.0
69,750.0,1.236,1.0687,148830.0,0.0,0.0,0.0
70,760.0,1.2291,1.0679,148820.0,0.0,0.0,0.0
71,770.0,1.2225,1.0669,148120.0,0.0,0.0,0.0
72,780.0,1.2159,1.0659,147990.0,0.0,0.0,0.0
73,790.0,1.2096,1.0632,147490.0,0.0,0.0,0.0
74,800.0,1.2034,1.0635,147720.0,0.0,0.0,0.0
75,810.0,1.1973,1.0629,147070.0,0.0,0.0,0.0
76,820.0,1.1914,1.0597,146940.0,0.0,0.0,0.0
77,830.0,1.1855,1.0601,146960.0,0.0,0.0,0.0
78,840.0,1.1799,1.0578,146330.0,0.0,0.0,0.0
79,850.0,1.1743,1.0582,146800.0,0.0,0.0,0.0
80,860.0,1.1689,1.0568,145780.0,0.0,0.0,0.0
81,870.0,1.1636,1.0553,145970.0,0.0,0.0,0.0
82,880.0,1.1583,1.0516,145580.0,0.0,0.0,0.0
83,890.0,1.1532,1.0509,145460.0,0.0,0.0,0.0
84,900.0,1.1482,1.0497,145740.0,0.0,0.0,0.0
85,910.0,1.1433,1.0475,145400.0,0.0,0.0,0.0
86,920.0,1.1385,1.0466,145080.0,0.0,0.0,0.0
87,930.0,1.1338,1.0461,145200.0,0.0,0.0,0.0
88,940.0,1.1292,1.043,144940.0,0.0,0.0,0.0
89,950.0,1.1247,1.0431,145660.0,0.0,0.0,0.0
90,960.0,1.1203,1.0392,144380.0,0.0,0.0,0.0
91,970.0,1.1159,1.0405,145210.0,0.0,0.0,0.0
92,980.0,1.1116,1.0387,144590.0,0.0,0.0,0.0
